Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logA,e_logA,plx,Vmag,Notes,Source,RA,Dec
HD 30708,5707,60,1.22,0.13,4.26,0.05,0.15,0.05,1.01,0.05,9.94,0.11,33.3,6.8,A1,Yee,72.87267958333331,35.81513972222222
HD 31253,6027,60,1.72,0.22,4.06,0.05,0.21,0.05,1.28,0.11,9.6,0.11,17.2,7.1,A1,Yee,73.68189041666666,12.352194166666667
HD 31423,6603,60,2.18,0.27,3.94,0.05,0.11,0.05,1.57,0.1,9.28,0.06,15.8,6.4,A1,Yee,74.03739541666666,7.904670277777778
HD 31451,4921,60,3.8,0.55,3.34,0.05,0.0,0.05,1.15,0.22,9.84,0.27,8.8,8.1,A1,Yee,74.46084375,39.632376111111114
HD 31560,4702,60,0.74,0.03,4.48,0.05,0.13,0.05,0.76,0.03,10.0,0.45,38.9,8.1,A2,Yee,73.92462708333333,-28.563911666666666
HD 33636,5960,60,0.99,0.06,4.49,0.05,-0.06,0.05,1.04,0.04,9.27,0.29,34.0,7.1,A1,Yee,77.94353916666667,4.403539444444445
HD 3404,5339,60,2.17,0.26,3.81,0.05,0.2,0.05,1.15,0.12,9.84,0.16,12.2,7.9,A1,Yee,9.195064999999998,-24.500930833333335
HD 3458,5101,60,6.88,0.85,2.95,0.05,0.12,0.05,1.58,0.16,9.39,0.15,1.8,8.2,A1,Yee,9.345614583333331,-19.565024722222223
HD 35112,4895,60,0.76,0.04,4.46,0.05,-0.08,0.05,0.76,0.03,10.07,0.37,50.2,7.7,A2,Yee,80.65618458333331,2.6032358333333336
HD 3684,6163,60,2.28,0.28,3.9,0.05,0.33,0.05,1.55,0.1,9.38,0.09,,7.3,A3,Yee,9.927370416666665,8.122804166666667
HD 37008,4980,60,0.69,0.03,4.53,0.05,-0.42,0.05,0.7,0.03,9.99,0.44,48.7,7.7,A2,Yee,84.54941999999997,51.445744722222216
HD 37124,5604,60,0.76,0.04,4.6,0.05,-0.45,0.05,0.82,0.04,9.41,0.42,30.1,7.7,A2,Yee,84.26036083333332,20.730786666666663
HD 37213,5447,60,1.59,0.17,3.98,0.05,-0.4,0.05,0.87,0.06,10.09,0.1,12.7,8.2,A1,Yee,83.92118166666666,-27.62082638888889
HD 37394,5249,60,0.85,0.05,4.5,0.05,0.15,0.05,0.89,0.04,9.73,0.49,81.7,6.2,A2,Yee,85.33473166666667,53.48105777777778
HD 37605,5329,60,1.0,0.09,4.36,0.05,0.27,0.05,0.91,0.04,10.08,0.16,21.6,8.7,A1,Yee,85.00720125,6.060575555555555
HD 3795,5380,60,1.47,0.12,4.11,0.05,-0.54,0.05,0.83,0.02,10.16,0.03,39.9,6.1,A1,Yee,10.136641249999998,-23.804924444444445
HD 38467,5753,60,1.43,0.17,4.15,0.05,0.24,0.05,1.09,0.1,9.86,0.14,13.9,8.2,A1,Yee,86.16399708333331,-29.91667166666667
HD 3861,6219,60,1.28,0.13,4.29,0.05,0.17,0.05,1.21,0.05,9.4,0.22,30.1,6.5,A1,Yee,10.299475,9.3550575
HD 39094,5432,60,1.83,0.24,3.94,0.05,0.23,0.05,1.1,0.11,9.92,0.15,15.8,7.9,A1,Yee,87.99873374999999,37.832463611111116
HD 40537,4962,60,3.07,0.4,3.45,0.05,-0.09,0.05,0.91,0.17,10.12,0.22,13.6,7.3,A1,Yee,89.64766999999999,-21.543892777777778
HD 4203,5582,60,1.56,0.2,4.08,0.05,0.35,0.05,1.09,0.11,9.91,0.15,12.7,8.7,A1,Yee,11.171667499999998,20.448927222222224
HD 42807,5730,60,0.93,0.05,4.52,0.05,0.01,0.05,0.99,0.04,9.33,0.34,55.2,6.4,A2,Yee,93.30209499999998,10.627142222222222
HD 4313,4943,60,4.53,0.58,3.24,0.05,0.19,0.05,1.32,0.17,9.66,0.19,7.6,7.8,A1,Yee,11.418157083333332,7.845020833333333
HD 43162,5617,60,0.89,0.04,4.55,0.05,0.01,0.05,0.97,0.04,9.33,0.36,16.3,6.4,A2,Yee,93.43873041666666,-23.86193638888889
HD 4395,5495,60,2.69,0.3,3.61,0.05,-0.15,0.05,1.07,0.07,9.85,0.1,11.0,7.7,A1,Yee,11.557290416666666,-11.452375555555555
HD 44985,5984,60,1.09,0.1,4.36,0.05,-0.02,0.05,1.06,0.05,9.57,0.29,30.3,7.0,A1,Yee,96.33435208333333,11.233245555555555
HD 45067,5940,60,2.01,0.24,3.92,0.05,-0.01,0.05,1.22,0.11,9.68,0.12,30.2,5.9,A2,Yee,96.31894249999999,-0.9458827777777777
HD 48345,4992,60,4.11,0.5,3.32,0.05,0.2,0.05,1.32,0.16,9.66,0.17,8.5,7.5,A2,Yee,100.94654291666666,18.65590111111111
HD 5133,4921,60,0.75,0.03,4.55,0.05,-0.06,0.05,0.78,0.04,9.75,0.52,71.7,7.2,A1,Yee,13.25472833333333,-30.35691416666667
HD 53927,4899,60,0.7,0.03,4.56,0.05,-0.29,0.05,0.72,0.04,9.85,0.51,43.4,8.3,A1,Yee,107.01766124999999,29.83449583333333
HD 56274,5788,60,0.79,0.05,4.56,0.05,-0.51,0.05,0.84,0.04,9.48,0.42,30.3,7.8,A1,Yee,108.96164666666665,-13.049481111111112
HD 57204,5097,60,3.15,0.41,3.52,0.05,0.21,0.05,1.23,0.15,9.76,0.17,12.0,8.0,A2,Yee,110.49954708333331,39.959995000000006
HD 6030,4926,60,4.3,0.58,3.26,0.05,0.07,0.05,1.26,0.2,9.71,0.25,5.8,7.9,A1,Yee,15.428699583333332,9.74602611111111
HD 61606,4918,60,0.77,0.03,4.53,0.05,0.09,0.05,0.81,0.04,9.81,0.51,71.1,7.2,A1,Yee,114.99720249999999,-3.5975075000000003
HD 61995,4989,60,3.9,0.58,3.26,0.05,-0.04,0.05,0.99,0.22,10.0,0.28,10.9,7.2,A1,Yee,115.94673958333331,43.794650555555556
HD 63754,6033,60,1.95,0.24,3.99,0.05,0.24,0.05,1.38,0.1,9.54,0.08,20.1,6.5,A1,Yee,117.43860124999998,-20.2076325
HD 64413,4906,60,7.8,1.11,2.69,0.05,-0.15,0.05,1.1,0.19,9.81,0.22,3.0,8.2,A1,Yee,118.46576874999998,0.3314586111111111
HD 66428,5670,60,1.18,0.12,4.29,0.05,0.23,0.05,1.02,0.06,9.91,0.15,18.7,8.3,A1,Yee,120.86944833333334,-1.1627105555555555
HD 68988,5866,60,1.23,0.14,4.29,0.05,0.31,0.05,1.13,0.06,9.63,0.21,16.7,8.2,A1,Yee,124.59238666666667,61.46072083333333
